43,32,41,4,3
43,32,1,11,33
43,32,1,14,4
43,32,48,20,37
43,32,34,10,14
43,32,29,13,22
43,32,14,45,13
43,32,44,37,29
43,32,26,41,4
43,32,11,6,42
43,32,25,29,21
43,32,49,23,26
43,32,6,44,24
43,32,33,37,31
43,32,46,27,1
43,32,40,42,36
43,32,28,42,37
43,32,39,13,37
43,32,45,6,42
43,32,4,34,38
43,32,39,25,41
43,32,34,17,3
43,32,5,27,49
43,32,29,24,25
43,32,34,22,24
43,32,45,25,6
43,32,9,3,21
43,32,5,13,47
43,32,27,25,34
43,32,3,46,39
43,32,6,40,9
43,32,3,17,9
43,32,42,28,48
43,32,34,23,26
43,32,48,34,13
43,32,28,47,8
43,32,29,10,17
43,32,1,6,26
43,32,22,3,26
43,32,3,14,9
43,32,24,4,31
43,32,22,6,5
43,32,20,40,34
43,32,26,49,28
43,32,47,34,6
43,32,41,14,38
43,32,31,5,25
43,32,28,21,17
43,32,22,41,34
43,32,37,46,10
43,32,3,36,11
43,32,46,9,38
43,32,1,0,4
43,32,1,11,9
43,32,24,42,28
43,32,44,27,28
43,32,14,1,22
43,32,37,11,28
43,32,23,42,36
43,32,23,1,38
43,32,27,33,31
43,32,4,8,42
43,32,27,9,13
43,32,5,10,8
43,32,7,34,49
43,32,27,23,22
43,32,25,7,24
43,32,23,28,24
43,32,9,13,21
43,32,45,13,6
43,32,34,22,1
43,32,21,45,28
43,32,17,34,44
43,32,21,22,38
43,32,33,3,48
43,32,6,5,45
43,32,4,31,25
43,32,7,25,31
43,32,10,11,4
43,32,34,41,4
43,32,14,3,8
43,32,46,25,23
43,32,4,14,49
43,32,36,13,9
43,32,17,34,27
43,32,42,21,22
43,32,28,44,10
43,32,40,33,41
43,32,21,3,13
43,32,36,42,44
43,32,7,6,29
43,32,13,25,33
43,32,38,47,11
43,32,49,7,41
43,32,48,42,7
43,32,40,24,47
43,32,4,37,20
43,32,45,23,3
43,32,47,17,8
43,32,40,11,6
43,32,38,13,4
43,32,31,47,27
43,32,45,3,23
43,32,44,10,39
43,32,38,48,36
43,32,39,7,17
43,32,24,49,21
43,32,21,11,6
43,32,25,8,37
43,32,4,7,8
43,32,31,33,27
43,32,11,36,13
43,32,47,49,38
43,32,26,38,49
43,32,25,37,28
43,32,37,44,5
43,32,46,7,49
43,32,4,10,17
43,32,27,39,21
43,32,42,48,39
43,32,6,40,34
43,32,37,31,20
43,32,13,44,25
43,32,40,44,48
43,32,13,46,38
43,32,45,14,5
43,32,48,23,49
43,32,24,17,40
43,32,47,37,27
43,32,40,6,25
43,32,48,29,10
43,32,36,1,31
43,32,24,22,48
43,32,21,1,31
43,32,4,7,34
43,32,13,26,42
43,32,27,46,36
43,32,6,29,33
43,32,27,10,28
43,32,29,42,26
43,32,48,49,25
43,32,17,49,39
43,32,8,20,46
43,32,45,25,7
43,32,33,49,31
43,32,48,25,49
43,32,48,49,31
43,32,42,13,41
43,32,22,40,26
43,32,5,24,39
43,32,29,42,39
43,32,5,39,0
43,32,29,0,6
43,32,11,37,14
43,32,24,48,4
43,32,1,3,36
43,32,37,24,48
43,32,10,25,23
43,32,26,42,3
43,32,7,24,8
43,32,14,25,1
43,32,27,17,14
43,32,42,41,20
43,32,45,26,14
43,32,4,46,40
43,32,13,38,23
43,32,34,20,13
43,32,29,3,40
43,32,14,3,34
43,32,31,14,20
43,32,0,9,21
43,32,6,8,27
43,32,44,38,21
43,32,23,45,14
43,32,0,44,34
43,32,39,25,33
43,32,0,20,48
43,32,47,4,3
43,32,46,11,17
43,32,44,31,40
43,32,41,44,40
43,32,4,22,33
43,32,7,13,45
43,32,29,13,44
43,32,17,23,28
43,32,25,47,6
43,32,28,8,29
43,32,5,34,41
43,32,47,22,46
43,32,29,7,38
43,32,28,6,13
43,32,42,17,49
43,32,9,49,47
43,32,28,37,45
43,32,45,31,26
43,32,33,47,5
43,32,23,39,4
43,32,24,0,31
43,32,38,14,40
43,32,45,49,41
